iter	Passed	Remaining
0	331	331591
1	335	167368
2	337	112110
3	338	84385
4	340	67744
5	342	56670
6	343	48746
7	345	42801
8	346	38183
9	350	34673
10	352	31652
11	353	29112
12	355	26967
13	357	25164
14	359	23601
15	361	22222
16	365	21111
17	366	20011
18	368	19029
19	370	18157
20	372	17346
21	373	16604
22	374	15926
23	376	15304
24	378	14756
25	380	14258
26	382	13768
27	383	13317
28	385	12897
29	386	12506
30	388	12143
31	390	11814
32	392	11494
33	395	11222
34	396	10937
35	398	10661
36	399	10402
37	401	10159
38	402	9928
39	404	9704
40	405	9492
41	409	9347
42	411	9159
43	413	8976
44	414	8800
45	416	8636
46	417	8474
47	419	8317
48	420	8167
49	424	8070
50	426	7938
51	428	7804
52	429	7676
53	431	7552
54	432	7435
55	434	7329
56	436	7217
57	439	7137
58	441	7036
59	442	6936
60	444	6840
61	446	6747
62	447	6656
63	449	6567
64	450	6480
65	453	6424
66	456	6354
67	458	6278
68	459	6200
69	460	6123
70	462	6050
71	463	5978
72	465	5908
73	468	5867
74	470	5801
75	471	5736
76	473	5672
77	474	5609
78	475	5548
79	477	5492
80	479	5435
81	480	5379
82	481	5324
83	483	5277
84	485	5226
85	487	5176
86	488	5128
87	490	5080
88	491	5034
89	493	4988
90	494	4943
91	497	4913
92	499	4871
93	500	4828
94	502	4787
95	504	4746
96	505	4707
97	507	4670
98	509	4636
99	513	4620
100	515	4588
101	517	4554
102	518	4518
103	520	4483
104	521	4448
105	524	4420
106	526	4390
107	528	4367
108	530	4338
109	532	4306
110	533	4274
111	535	4243
112	536	4211
113	538	4183
114	540	4157
115	543	4143
116	545	4113
117	546	4087
118	548	4058
119	549	4030
120	551	4005
121	552	3977
122	554	3952
123	557	3937
124	559	3913
125	560	3888
126	561	3861
127	563	3836
128	564	3813
129	566	3793
130	568	3769
131	572	3762
132	573	3739
133	575	3716
134	576	3693
135	577	3671
136	579	3652
137	581	3632
138	582	3611
139	585	3598
140	587	3581
141	588	3557
142	590	3537
143	591	3516
144	593	3497
145	594	3479
146	596	3459
147	597	3440
148	601	3433
149	602	3415
150	604	3396
151	605	3378
152	607	3362
153	608	3344
154	610	3326
155	611	3308
156	613	3291
157	616	3283
158	618	3270
159	620	3255
160	621	3237
161	622	3222
162	624	3206
163	626	3192
164	627	3177
165	631	3170
166	633	3157
167	634	3142
168	636	3128
169	637	3113
170	639	3098
171	640	3083
172	642	3069
173	645	3063
174	647	3050
175	648	3036
176	650	3022
177	651	3008
178	652	2994
179	654	2980
180	655	2967
181	657	2954
182	660	2950
183	662	2937
184	663	2923
185	665	2912
186	667	2900
187	668	2887
188	669	2874
189	671	2861
190	673	2851
191	675	2842
192	676	2830
193	678	2819
194	680	2808
195	681	2796
196	683	2784
197	684	2772
198	685	2761
199	688	2754
200	690	2745
201	692	2735
202	694	2725
203	696	2715
204	697	2706
205	699	2696
206	701	2686
207	704	2682
208	706	2673
209	708	2664
210	710	2655
211	711	2645
212	713	2637
213	715	2628
214	719	2625
215	721	2617
216	722	2608
217	724	2598
218	726	2589
219	727	2579
220	729	2570
221	731	2561
222	734	2559
223	736	2550
224	738	2542
225	739	2533
226	741	2525
227	743	2516
228	744	2507
229	746	2500
230	749	2495
231	751	2487
232	753	2479
233	754	2471
234	756	2463
235	758	2455
236	759	2446
237	761	2437
238	764	2433
239	765	2424
240	767	2415
241	768	2407
242	770	2399
243	771	2390
244	773	2382
245	774	2373
246	776	2367
247	779	2362
248	780	2355
249	782	2347
250	784	2340
251	786	2333
252	787	2325
253	789	2317
254	792	2316
255	794	2310
256	796	2303
257	798	2296
258	800	2289
259	802	2282
260	804	2277
261	807	2275
262	809	2269
263	811	2263
264	813	2256
265	814	2248
266	816	2241
267	817	2233
268	819	2226
269	821	2222
270	823	2215
271	825	2208
272	826	2201
273	828	2194
274	829	2187
275	831	2180
276	832	2173
277	834	2167
278	837	2165
279	839	2159
280	841	2152
281	842	2145
282	843	2138
283	845	2131
284	846	2124
285	848	2117
286	850	2112
287	852	2108
288	854	2102
289	856	2096
290	857	2089
291	859	2082
292	860	2076
293	862	2070
